	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	-23.2849566215	6.71584811369	26.1688264954	-7.65849633919	-17.425467058	26.3438186892	87.5633046973	-10.6394147827	-38.5888164345	10.6286648884	-20.7691500674	0.253425684521
1981	18.2733101684	-19.968919197	52.597288056	-13.2886862295	31.3611800441	32.9001676505	-14.8532269732	-22.8654566054	6.08938982876	80.9673756943	-6.10553273181	10.462276299
1982	-14.7756965817	-42.6372629362	3.98819736264	-17.524873895	4.03148581232	32.1629213595	-39.8203914469	-14.4143510766	-15.211385334	54.6273068258	-3.11873834128	16.1435034062
1983	12.430451072	-4.78271515102	11.0174232573	49.6960911687	56.8696891399	-1.47243106267	-45.2413369641	-43.3184349953	12.999465288	-39.34418595	-13.0482795646	-29.9444367701
1984	58.5747173022	21.6079208308	-12.5620926444	-29.3146617118	41.0132135216	-29.8568301438	-19.7258118673	-39.8819165866	81.2346015983	28.5591336436	3.97822134531	-43.9401230348
1985	-24.4696569529	-45.2303228138	8.47115735281	30.5655810649	-4.26584147702	40.0584975737	-12.8323368305	-1.27732495251	-33.2197293392	-60.2281697516	-10.079630972	-16.1011472947
1986	41.5554576662	-60.0447942599	47.5433186809	20.6510977427	-13.2867688134	-1.85291715897	-39.0458026726	5.07661147222	-3.73097591055	26.2789299141	-4.80329612556	14.8806558951
1987	-40.5425307253	-3.45823855521	26.8924349801	-17.3191976803	16.6126611984	50.5339160472	44.6701532168	5.23898410623	-5.65496806399	29.8325883096	20.9545685723	-53.1271914167
1988	74.926673531	39.8003508737	75.9153906247	-30.5293138181	18.9236767863	-43.8211648	48.067969973	-19.4667844356	15.4557971677	0.500023500711	-26.3796290222	-1.57030251007
1989	-45.8544252275	0.594961059061	25.6075074429	52.1020700287	-47.3425696826	-6.71516636893	-36.6993111649	-32.322757955	-13.483828861	-11.0289985379	-47.8430172424	20.0055082498
1990	-10.3098263255	54.723597423	-44.4358403478	1.17892664413	-46.4209122554	20.6967768835	-46.1614526478	-14.4698612198	-9.02769626525	-6.98173157797	2.6622376082	-5.90093227795
1991	7.92288563802	-42.2830269275	-30.1502183608	1.10046622873	-43.1803241839	29.6832779638	14.764278847	-60.8946658521	-9.47323038257	-42.9045352403	62.4729222558	-18.8148757102
1992	-50.2018113057	-21.1863124978	24.2794228968	2.76297845367	-17.1031345513	22.493329228	-5.17062451154	61.063213047	-23.5176877184	8.37051793764	27.6567752721	-14.859040906
1993	22.2192509516	-37.7584552427	-62.3328827159	-8.20022611705	3.41897876578	-16.4296134214	34.1351471826	-40.5878932953	63.2085202375	6.80155397403	-29.4758841558	102.313045717
1994	27.1065368153	-19.1833472597	18.4371596177	10.7037183131	8.86399662895	-23.8564940006	-35.9820636886	-2.77584434829	54.7249446417	-9.60162573394	-37.3767923264	27.6964115687
1995	88.7519585264	41.0973140508	13.0233995675	-3.14109841175	-19.3247701099	-17.1139759116	-33.264323457	-33.8832208041	23.3465806598	-45.4104351787	-36.9270035284	-21.2126549676
1996	-65.0145667498	1.65924732896	-45.5427559719	-46.5029624472	3.92375734953	-48.3550527345	-34.3557535114	49.797170836	-24.9724195549	-23.4991132709	43.0744653185	-46.5371720095
1997	-73.5523999724	41.695652967	-41.9287094139	-22.9734859421	25.091514087	42.1745225445	-17.0851154757	-19.315137195	-47.758998848	-4.27122662795	3.98623852748	-0.354634012815
1998	6.48920725989	-46.2357323355	11.7122926234	57.8118339835	-23.1604396149	34.3794175338	-29.6795057496	-24.693926568	62.1536291041	80.8176229717	17.7513357337	-15.9583280175
1999	29.5877837569	6.66529636448	15.349195233	14.3647910915	-17.7618283637	6.30772754578	-39.2907219767	14.699957836	-4.3176624388	-26.2782391921	-33.4110563448	89.5032961086
2000	-32.1283427884	35.8612646047	-5.0957623647	16.728668731	23.8328416721	-36.0249007264	70.2872614927	-27.1994693514	13.0452100173	29.3007664559	34.3345962767	-11.0107742918
2001	23.123471609	21.7346858737	60.7786249337	59.6825932546	-39.7198005614	-23.7227570835	13.9320340721	-6.75366980823	99.1575689104	-20.7445325483	26.7655189205	-22.6376722705
2002	-13.2711003711	92.0547868585	-1.6685012787	-8.97794421247	-8.45913738667	-13.519820995	10.66049892	57.4853249977	-29.2984018221	10.7265409337	39.1830909932	27.6143319687
2003	22.4153523077	-39.4466735399	-27.1000669575	-4.08696342236	14.3493678434	-32.3650734808	-27.2036941369	-36.3591416243	-35.9718626036	-6.01134106999	-17.4093293419	-12.5185018379
