Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice_Mid_China_Henan,,,,,,,,,,,,,,,,,,,,4.26961,5.1759,4.42702,5.30801,5.36355,5.19633,5.01093,4.77421,4.03282,5.45582,6.14334,5.09331,5.48838,6.48649,6.01477,6.56604,6.56018,7.00449,7.41774,6.54808,6.93705,4.8739,7.16766,4.77475,7.04423,7.03954,7.08168,7.275,7.32846,7.37772,7.50303,7.4373,7.5992,,
Rice_Mid_China_Hubei,,,,,,,,,,,,,,,,,,,,4.70222,5.56806,5.77411,6.22557,7.02957,7.35652,7.60956,7.69666,7.1272,7.71172,8.20423,7.44892,8.51598,8.36496,8.56268,8.90989,8.77662,8.98185,8.6479,8.76306,8.85567,8.43546,8.73228,8.32999,8.65687,8.38682,8.22176,8.56371,8.86852,8.90927,8.73601,9.12741,9.34461,,
Rice_Mid_China_Hunan,,,,,,,,,,,,,,,,,,,,4.54233,4.74802,5.07454,5.50324,5.54204,4.99529,5.79056,6.12903,5.11404,6.18161,6.24492,6.13397,6.38743,6.28361,6.67492,6.59937,6.37112,6.9832,6.63445,6.9081,6.8989,6.7627,7.27103,7.64356,6.78068,6.77335,6.76295,6.76892,7.08293,7.036,6.93178,7.10096,7.25097,,
Rice_Mid_China_Guangdong,,,,,,,,,,,,,,,,,,,,2.8866,2.95775,3.57853,2.98054,3.65646,3.39928,3.60552,,4.63065,4.55422,5.05102,4.79882,6.28061,,,,,,,,,,,,,,,,,,,,,,
Rice_Mid_China_Guangxi,,,,,,,,,,,,,,,,,,,,3.18012,3.1759,3.59942,3.69663,3.71287,3.34139,3.52811,3.97011,3.54772,3.74785,3.76206,4.11418,4.39948,4.63798,4.84233,5.29425,5.30718,5.39201,5.22603,5.0755,5.40698,5.89763,5.60941,5.56426,5.48827,5.6918,5.6385,5.75511,5.8118,5.83333,5.35917,5.41529,5.88156,,
Rice_Mid_China_Hainan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32558,2.25718,2.83898,2.71845,1.79426,,1.59091,,,,,,,,,,,,,,,,,,,,
Rice_Mid_China_Chongqing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.80639,6.49771,6.74981,6.86837,6.19179,6.49383,6.62617,6.80208,6.97301,5.13015,7.53822,7.85982,7.49663,7.58255,7.18879,7.24895,,
Rice_Mid_China_Sichuan,,,,,,,,,,,,,,,,,,,,5.17017,5.33703,5.85915,6.20965,6.48868,6.22514,6.49419,6.58379,6.44499,6.71732,7.07519,6.79772,6.88603,6.62552,6.48816,6.98139,7.24691,7.60193,7.59907,7.76847,7.70227,6.82797,7.24634,7.21562,7.36681,7.21507,6.42146,6.97457,7.35786,7.50086,7.54519,7.60642,7.69,,
Rice_Mid_China_Guizhou,,,,,,,,,,,,,,,,,,,,4.19194,3.72456,4.48385,4.84349,5.22433,4.19156,4.63737,4.73918,4.42955,4.72099,4.8603,6.01505,5.08812,5.1844,5.76588,5.74057,6.20154,6.22117,6.38095,6.12242,6.36497,6.13166,4.73352,6.37639,6.65777,6.55196,6.24123,6.65246,6.67517,6.49205,6.40477,4.45979,5.89253,,
Rice_Mid_China_Yunnan,,,,,,,,,,,,,,,,,,,,3.79477,4.02951,4.18571,4.08328,4.4045,4.48478,4.15159,4.45077,4.49363,4.60752,4.97504,5.01083,4.95491,5.12548,5.40457,5.40607,5.72656,5.79943,5.89681,6.1663,5.34203,5.40351,4.99534,6.09584,5.86756,6.20844,5.9376,5.93959,6.10067,6.1162,6.04307,6.25655,5.96647,,
