	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	-72.5884692168	-40.1600551415	42.3913815635	-96.681982708	33.8684609714	-56.9372001858	-14.8550520106	-6.9768990386	-61.6632967109	48.2535000888	26.2784812171	0.98029183623
1981	13.3570481309	5.75483296501	-62.5499978208	-40.1988268716	-106.252274526	-10.5964665962	-118.522260597	-57.1048213603	-19.6595846695	-117.292951145	41.6960054821	-4.95463120311
1982	-128.007073929	53.746020831	-54.0838875257	-149.707227992	-12.8487919093	171.269972459	42.410562403	79.843161318	-27.0585236072	20.5452380779	218.994994491	-24.4832062995
1983	-33.0992567244	143.372792163	37.0873500073	55.0963611538	195.556766339	-37.0366844008	144.08893446	-13.7725769338	-30.2212305588	-22.135368708	-29.7036075613	-29.7822213163
1984	74.5316119424	-16.7433922912	-9.27427192111	-1.80409701513	116.469002299	105.703836245	-16.7770624376	81.4595458775	-1.17383462216	-66.1842946606	23.6212022514	-42.5743675452
1985	-92.861832325	16.0838518405	47.8364184214	35.4995797193	18.2413669533	-52.7701581012	27.2026867261	73.1402988899	10.3586035145	-135.594911692	-118.803348531	-109.446424689
1986	-15.0559395415	-9.86824258785	110.7770842	89.2317988244	90.0095372718	-39.813376674	-79.1678923673	30.5380491678	2.79608599846	-63.2205423884	97.8846361022	-58.402859512
1987	5.21660122361	16.7719232596	-35.9840293309	77.9624588493	25.5564023998	-35.8032181826	142.426661017	25.1861278248	-73.3422609125	-32.1214342775	-38.4612971356	-24.1451816147
1988	56.5801466886	-76.2144490333	-69.3454065203	122.712158964	-9.69470578604	-3.10655210578	-133.740308386	-91.539547796	76.5026179506	-26.403647654	-41.0248899992	-67.3812882459
1989	53.1818227707	-17.8640192193	46.4044021062	-30.0826978976	-94.6597684539	-55.8217434493	-12.2563548102	65.2190299198	59.6647979685	-53.7226393399	-35.2434996375	-68.9987192693
1990	17.6605631996	-13.8588055348	29.648417676	116.921232354	38.0436631447	59.4864017144	-53.5748438242	-23.1562654954	63.4154812384	28.9521019317	54.1779070644	-12.895307618
1991	-31.4770409585	-102.739128083	-47.8671701487	35.9909977461	-72.3844994764	69.6310252722	-28.1685399721	-67.0672336053	-111.093993523	-51.0407131292	-47.6256358779	80.1689436702
1992	-45.9167569184	26.1156967695	113.916813938	13.5333216502	123.665000217	28.6460030969	72.8708482254	13.6240943749	-6.27563903112	-41.3799173403	-54.85367823	-62.3241427619
1993	57.7458342093	-54.5107337279	29.0897380998	-102.102233793	47.116430684	-28.3476615876	39.7739898812	-84.8181027596	-20.600333723	-15.3901101179	66.4597144303	47.2416775625
1994	-13.0836659863	201.67509827	12.8323656365	21.1350359677	48.6801004571	25.7526034058	113.243719095	-53.8453956256	-57.2920840789	77.9549260511	16.5046360463	10.5404535524
1995	36.0512081465	-2.19785204884	18.1889480324	0.444079374089	-92.9108818951	9.39937929661	-19.326358498	-26.0907154042	22.6374923703	1.18189041177	-94.6134003181	-19.4345136424
1996	84.9495825296	20.9639823294	-11.4814112765	-73.3749489132	-107.137992401	-17.2531457989	-93.3907208963	17.0097768615	15.0219580199	144.872673432	-27.2678161878	121.162947622
1997	-20.851639326	72.6296827447	-73.9214656479	-86.5108922395	-23.6416461565	43.9992729291	-11.7484965699	38.5323534058	-8.99356627854	208.171261521	96.0334183616	102.217395458
1998	42.9075524924	62.613756546	151.836914721	146.592853008	11.3809883801	-16.9919574663	31.7739577346	159.957208314	88.5879123345	-28.9011126899	-100.981102898	-16.0954343281
1999	-16.2039850238	-35.8680933272	-50.9845263163	-0.437155307504	-53.3295502248	-8.074951587	70.0929563546	-82.0488157045	-40.7239992141	19.0141015156	-52.5535329889	-9.93894806843
2000	-3.48567490309	-17.3491526894	-5.76063353469	-33.9177647684	14.780514566	42.6453947791	5.34788404737	-35.9515676469	94.3519126562	137.72759092	-17.415986008	-21.7661542454
2001	83.3260548472	43.4555604779	-10.6822523645	53.8906957547	6.01275005093	-26.7417130027	26.0231347525	-53.7062406046	33.7001801705	-30.9724435532	-0.62787249366	-77.3415498771
2002	22.5389329805	-74.4881708758	35.9650903062	-7.17641903875	32.585585529	3.60737810881	55.7697187981	22.6438693413	-5.50355670531	142.455094769	29.2538751448	106.779779402
2003	0.228580304045	79.079462819	4.7221223509	-41.401990361	-100.269491292	-27.2313726392	-67.2408448677	-43.1575696308	-63.2485523678	18.1510413342	9.70810204189	143.067843622
2004	-11.3781107263	-64.7888314235	-86.232490038	-50.3112289904	1.14095600942	-63.3912374187	-8.27924298687	-74.5327734055	9.95688381017	-25.8562552042	12.1391047472	-72.9758855158
2005	-23.9954038973	-104.438551312	-62.3291811804	55.744636607	93.9307938527	115.401104426	-82.3039861185	-19.7663434721	40.68071739	43.0840496103	-44.4956627974	-84.1216189379
2006	30.744046904	-77.8418657836	-11.1178324605	-118.829583199	-79.3261713508	-63.4329696215	-87.7170426996	5.15528746576	-44.8535367844	-78.6896184157	34.0351238345	44.1248037553
2007	-14.8342816084	35.3321948338	-10.6125202229	-16.6962474681	106.720472009	-59.3109330598	16.2168303979	-16.3634671089	-52.7212518556	-43.7914704694	67.5949315473	-25.8498561054
2008	-13.2088197268	-32.7640917252	-60.5113386154	102.812903957	-37.8031379037	-7.78150418273	-91.8506888979	7.53242208045	-27.669650765	109.841293153	-83.3311173888	-59.0399868153
2009	-15.3581507719	-20.6186664906	-70.0427480913	-133.782781588	23.5942201231	-47.3129556646	-14.4631237748	94.5566917261	142.500819632	-32.4876172314	220.329828295	57.2473039593
2010	32.5020840346	19.4364225756	29.9159143569	68.3978404426	12.1353787905	-45.0269298292	57.9986951851	-46.9803128485	7.84150624493	-99.2442633817	-81.8461539165	69.9545059427
2011	-6.01538452539	1.25152692702	-50.548810217	-7.13346973955	-110.575081264	-12.2435278595	40.5371599403	83.7151993018	-99.3154006537	36.178112279	-91.661875821	-86.09508145
2012	-45.3066189655	28.0133616011	1.60986740058	-25.8491968637	-108.75603887	-41.7942043958	-29.7931792007	-25.6927718057	-23.8289248577	-7.86444209973	-100.580820075	174.502603558
2013	-49.6369511371	-38.670031904	19.583363294	-7.45506070236	-27.283871198	-42.5088113255	16.0774865396	51.9924469123	-27.776107771	-41.5728628717	4.79988190285	-69.1921711899
2014	40.843385807	-25.3120337531	51.5237811228	27.4878510844	-2.61448734066	123.786903403	61.3207733566	-27.5341425352	134.998359392	-22.5162587247	41.5794549061	89.2510003096
